,Start of Path,End of Path,Number of Cars on Path
51514,DV,18803,0.0
51515,DV,15161,0.0
51516,DV,18927,0.0
51517,DV,16359,0.0
51518,DV,20702,0.0
51519,DV,13264,0.0
51520,DV,15074,0.0
51521,DV,18547,0.0
51522,DV,13708,0.0
51523,DV,12022,0.0
51524,DV,15846,0.0
51525,DV,12822,0.0
51526,DV,19414,0.0
51527,DV,20123,0.0
51528,DV,8748,0.0
51529,DV,15968,0.0
51530,DV,15255,0.0
51531,DV,19692,0.0
51532,DV,15767,0.0
51533,DV,19760,0.0
51534,DV,19791,0.0
51535,DV,19660,0.0
51536,DV,20931,0.0
51537,DV,20424,0.0
51538,DV,12165,0.0
51539,DV,12517,0.0
51540,DV,13577,0.0
51541,DV,9160,0.0
51542,DV,9387,0.0
51543,DV,14561,0.0
51544,DV,20383,0.0
51545,DV,19082,0.0
51546,DV,12235,0.0
51547,DV,19523,0.0
51548,DV,8491,0.0
51549,DV,12542,0.0
51550,DV,12571,0.0
51551,DV,14104,0.0
51552,DV,12267,0.0
51553,DV,18782,0.0
51554,DV,13785,0.0
51555,DV,14442,0.0
51556,DV,20016,0.0
51557,DV,13182,0.0
51558,DV,20082,0.0
51559,DV,20557,0.0
51560,DV,13795,0.0
51561,DV,16210,0.0
51562,DV,19700,0.0
51563,DV,14809,0.0
51564,DV,19024,0.0
51565,DV,20691,0.0
51566,DV,19638,0.0
51567,DV,19866,0.0
51568,DV,16737,0.0
51569,DV,1870,0.0
51570,DV,12242,0.0
51571,DV,12811,0.0
51572,DV,12162,0.0
51573,DV,20716,0.0
51574,DV,14546,0.0
51575,DV,16760,0.0
51576,DV,15556,0.0
51577,DV,17994,0.0
51578,DV,15312,0.0
51579,DV,16543,0.0
51580,DV,13480,0.0
51581,DV,20146,0.0
51582,DV,9336,0.0
51583,DV,19588,0.0
51584,DV,19623,0.0
51585,DV,13123,0.0
51586,DV,13738,0.0
51587,DV,16247,0.0
51588,DV,12586,0.0
51589,DV,20586,0.0
51590,DV,12241,0.0
51591,DV,15812,0.0
51592,DV,16174,0.0
51593,DV,14820,0.0
51594,DV,19654,0.0
51595,DV,17883,0.0
51596,DV,12850,0.0
51597,DV,13122,0.0
51598,DV,14086,0.0
51599,DV,14035,0.0
51600,DV,20189,0.0
51601,DV,16259,0.0
51602,DV,15501,0.0
51603,DV,9287,0.0
51604,DV,14374,0.0
51605,DV,9335,0.0
51606,DV,16262,0.0
51607,DV,18983,0.0
51608,DV,8605,0.0
51609,DV,16724,0.0
51610,DV,13085,0.0
51611,DV,9077,0.0
51612,DV,12516,0.0
51613,DV,14977,0.0
51614,DV,12321,0.0
51615,DV,20449,0.0
51616,DV,9344,0.0
51617,DV,20655,0.0
51618,DV,13938,0.0
51619,DV,14411,0.0
51620,DV,13150,0.0
51621,DV,16104,0.0
51622,DV,12149,0.0
51623,DV,14213,0.0
51624,DV,15618,0.0
51625,DV,15499,0.0
51626,DV,12590,0.0
51627,DV,14011,0.0
51628,DV,13183,0.0
51629,DV,12236,0.0
51630,DV,15457,0.0
51631,DV,8627,0.0
51632,DV,9402,0.0
51633,DV,17922,0.0
51634,DV,19989,0.0
51635,DV,18350,0.0
51636,DV,18519,0.0
51637,DV,9319,0.0
51638,DV,15676,0.0
51639,DV,14831,0.0
51640,DV,17286,0.0
51641,DV,15640,0.0
51642,DV,20596,0.0
51643,DV,20590,0.0
51644,DV,14251,0.0
51645,DV,20909,0.0
51646,DV,19949,0.0
51647,DV,13779,0.0
51648,DV,13347,0.0
51649,DV,12595,0.0
51650,DV,19754,0.0
51651,DV,8497,0.0
51652,DV,20410,0.0
51653,DV,16756,0.0
51654,DV,15982,0.0
51655,DV,19387,0.0
51656,DV,12562,0.0
51657,DV,17281,0.0
51658,DV,21097,0.0
51659,DV,15873,0.0
51660,DV,18550,0.0
51661,DV,19456,0.0
51662,DV,18365,0.0
51663,DV,16464,0.0
51664,DV,16074,0.0
51665,DV,12626,0.0
51666,DV,12385,0.0
51667,DV,20329,0.0
51668,DV,13926,0.0
51669,DV,15673,0.0
51670,DV,16144,0.0
51671,DV,9226,0.0
51672,DV,15695,0.0
51673,DV,14428,0.0
51674,DV,12514,0.0
51675,DV,9394,0.0
51676,DV,16231,0.0
51677,DV,15182,0.0
51678,DV,18435,0.0
51679,DV,20087,0.0
51680,DV,16782,0.0
51681,DV,14469,0.0
51682,DV,15275,0.0
51683,DV,14709,0.0
51684,DV,13422,0.0
51685,DV,19384,0.0
51686,DV,16743,0.0
51687,DV,16315,0.0
51688,DV,13120,0.0
51689,DV,15089,0.0
51690,DV,8494,0.0
51691,DV,9142,0.0
51692,DV,14320,0.0
51693,DV,13831,0.0
51694,DV,13449,0.0
51695,DV,20846,0.0
51696,DV,12143,0.0
51697,DV,19853,0.0
51698,DV,15380,0.0
51699,DV,16200,0.0
51700,DV,13850,0.0
51701,DV,19342,0.0
51702,DV,15395,0.0
51703,DV,20178,0.0
51704,DV,13512,0.0
51705,DV,21285,0.0
51706,DV,9112,0.0
51707,DV,15639,0.0
51708,DV,12831,0.0
51709,DV,20117,0.0
51710,DV,21318,0.0
51711,DV,19201,0.0
51712,DV,15437,0.0
51713,DV,11901,0.0
51714,DV,14641,0.0
51715,DV,15564,0.0
51716,DV,19126,0.0
51717,DV,18612,0.0
51718,DV,20787,0.0
51719,DV,20605,0.0
51720,DV,15115,0.0
51721,DV,9201,0.0
51722,DV,15198,0.0
51723,DV,9099,0.0
51724,DV,19696,0.0
51725,DV,13822,0.0
51726,DV,15691,0.0
51727,DV,15000,0.0
51728,DV,20218,0.0
51729,DV,15266,0.0
51730,DV,8614,0.0
51731,DV,20330,0.0
51732,DV,15091,0.0
51733,DV,16490,0.0
51734,DV,13429,0.0
51735,DV,14081,0.0
51736,DV,4036,0.0
51737,DV,14506,0.0
51738,DV,12396,0.0
51739,DV,20827,0.0
51740,DV,15744,0.0
51741,DV,9252,0.0
51742,DV,15515,0.0
51743,DV,12794,0.0
51744,DV,19332,0.0
51745,DV,13879,0.0
51746,DV,19689,0.0
51747,DV,12139,0.0
51748,DV,9153,0.0
51749,DV,20832,0.0
51750,DV,9230,0.0
51751,DV,9243,0.0
51752,DV,16276,0.0
51753,DV,15005,0.0
51754,DV,14274,0.0
51755,DV,12723,0.0
51756,DV,14140,0.0
51757,DV,17492,0.0
51758,DV,20414,0.0
51759,DV,16415,0.0
51760,DV,14910,0.0
51761,DV,12387,0.0
51762,DV,12798,0.0
51763,DV,20283,0.0
51764,DV,13868,0.0
51765,DV,14915,0.0
51766,DV,15120,0.0
51767,DV,20555,0.0
51768,DV,13946,0.0
51769,DV,12893,0.0
51770,DV,13166,0.0
51771,DV,20140,0.0
51772,DV,14176,0.0
51773,DV,16156,0.0
51774,DV,15527,0.0
51775,DV,13813,0.0
51776,DV,15465,0.0
51777,DV,13860,0.0
51778,DV,16708,0.0
51779,DV,14782,0.0
51780,DV,20378,0.0
51781,DV,18786,0.0
51782,DV,20604,0.0
51783,DV,15412,0.0
51784,DV,13545,0.0
51785,DV,13902,0.0
51786,DV,20151,0.0
51787,DV,16670,0.0
51788,DV,15778,0.0
51789,DV,12880,0.0
51790,DV,20091,0.0
51791,DV,8623,0.0
51792,DV,16260,0.0
51793,DV,12860,0.0
51794,DV,12101,0.0
51795,DV,18469,0.0
51796,DV,8742,0.0
51797,DV,20450,0.0
51798,DV,17860,0.0
51799,DV,21051,0.0
51800,DV,12848,0.0
51801,DV,9380,0.0
51802,DV,9256,0.0
51803,DV,15997,0.0
51804,DV,9416,0.0
51805,DV,8770,0.0
51806,DV,13960,0.0
51807,DV,13669,0.0
51808,DV,17995,0.0
51809,DV,20394,0.0
51810,DV,12791,0.0
51811,DV,15736,0.0
51812,DV,19483,0.0
51813,DV,15660,0.0
51814,DV,20679,0.0
51815,DV,20793,0.0
51816,DV,19378,0.0
51817,DV,15413,0.0
51818,DV,13748,0.0
51819,DV,12176,0.0
51820,DV,15271,0.0
51821,DV,13696,0.0
51822,DV,9141,0.0
51823,DV,19698,0.0
51824,DV,20447,0.0
51825,DV,11867,0.0
51826,DV,16289,0.0
51827,DV,16267,0.0
51828,DV,14552,0.0
51829,DV,16320,0.0
51830,DV,13280,0.0
51831,DV,14261,0.0
51832,DV,15652,0.0
51833,DV,13933,0.0
51834,DV,15772,0.0
51835,DV,13641,0.0
51836,DV,20472,0.0
51837,DV,21064,0.0
51838,DV,16307,0.0
51839,DV,21302,0.0
51840,DV,12460,0.0
51841,DV,21102,0.0
51842,DV,15717,0.0
51843,DV,16188,0.0
51844,DV,12388,0.0
51845,DV,12792,0.0
51846,DV,15349,0.0
51847,DV,13496,0.0
51848,DV,16097,0.0
51849,DV,14890,0.0
51850,DV,19972,0.0
51851,DV,13218,0.0
51852,DV,14611,0.0
51853,DV,12231,0.0
51854,DV,19978,0.0
51855,DV,13174,0.0
51856,DV,19777,0.0
51857,DV,14423,0.0
51858,DV,16033,0.0
51859,DV,21275,0.0
51860,DV,19699,0.0
51861,DV,20622,0.0
51862,DV,9324,0.0
51863,DV,19099,0.0
51864,DV,21090,0.0
51865,DV,9130,0.0
51866,DV,13653,0.0
51867,DV,12322,0.0
51868,DV,14218,0.0
51869,DV,14567,0.0
51870,DV,16686,0.0
51871,DV,18439,0.0
51872,DV,11900,0.0
51873,DV,14486,0.0
51874,DV,20444,0.0
51875,DV,19529,0.0
51876,DV,19670,0.0
51877,DV,19286,0.0
51878,DV,13167,0.0
51879,DV,15690,0.0
51880,DV,21053,0.0
51881,DV,15253,0.0
51882,DV,20351,0.0
51883,DV,15934,0.0
51884,DV,15610,0.0
51885,DV,12440,0.0
51886,DV,16649,0.0
51887,DV,12895,0.0
51888,DV,14105,0.0
51889,DV,14006,0.0
51890,DV,13216,0.0
51891,DV,15415,0.0
51892,DV,13869,0.0
51893,DV,13527,0.0
51894,DV,9244,0.0
51895,DV,18379,0.0
51896,DV,14315,0.0
51897,DV,12198,0.0
51898,DV,15338,0.0
51899,DV,13063,0.0
51900,DV,20625,0.0
51901,DV,9246,0.0
51902,DV,12123,0.0
51903,DV,13701,0.0
51904,DV,16287,0.0
51905,DV,16271,0.0
51906,DV,21098,0.0
51907,DV,12203,0.0
51908,DV,8675,0.0
51909,DV,16517,0.0
51910,DV,18798,0.0
51911,DV,16230,0.0
51912,DV,13828,0.0
51913,DV,16080,0.0
51914,DV,14711,0.0
51915,DV,15170,0.0
51916,DV,20460,0.0
51917,DV,12632,0.0
51918,DV,9312,0.0
51919,DV,8493,0.0
51920,DV,15806,0.0
51921,DV,16293,0.0
51922,DV,19778,0.0
51923,DV,12686,0.0
51924,DV,19131,0.0
51925,DV,16209,0.0
51926,DV,18265,0.0
51927,DV,14701,0.0
51928,DV,19511,0.0
51929,DV,9152,0.0
51930,DV,19816,0.0
51931,DV,16416,0.0
51932,DV,9131,0.0
51933,DV,15874,0.0
51934,DV,13637,0.0
51935,DV,16395,0.0
51936,DV,14919,0.0
51937,DV,21493,0.0
51938,DV,16205,0.0
51939,DV,14434,0.0
51940,DV,19870,0.0
51941,DV,14418,0.0
51942,DV,19649,0.0
51943,DV,12799,0.0
51944,DV,9279,0.0
51945,DV,13245,0.0
51946,DV,13369,0.0
51947,DV,12146,0.0
51948,DV,19445,0.0
51949,DV,16725,0.0
51950,DV,13356,0.0
51951,DV,19929,0.0
51952,DV,19374,0.0
51953,DV,11856,0.0
51954,DV,15705,0.0
51955,DV,20044,0.0
51956,DV,20153,0.0
51957,DV,13624,0.0
51958,DV,14712,0.0
51959,DV,12847,0.0
51960,DV,14422,0.0
51961,DV,15124,0.0
51962,DV,13511,0.0
51963,DV,20295,0.0
51964,DV,12277,0.0
51965,DV,16426,0.0
51966,DV,20593,0.0
51967,DV,20475,0.0
51968,DV,8654,0.0
51969,DV,14706,0.0
51970,DV,15959,0.0
51971,DV,14885,0.0
51972,DV,19440,0.0
51973,DV,8637,0.0
51974,DV,15138,0.0
51975,DV,12128,0.0
51976,DV,20284,0.0
51977,DV,14050,0.0
51978,DV,19722,0.0
51979,DV,13261,0.0
51980,DV,14698,0.0
51981,DV,12182,0.0
51982,DV,14325,0.0
51983,DV,20353,0.0
51984,DV,12191,0.0
51985,DV,20242,0.0
51986,DV,12802,0.0
51987,DV,13987,0.0
51988,DV,20624,0.0
51989,DV,13720,0.0
51990,DV,15471,0.0
51991,DV,13709,0.0
51992,DV,13966,0.0
51993,DV,9083,0.0
51994,DV,13344,0.0
51995,DV,13912,0.0
51996,DV,15226,0.0
51997,DV,21687,0.0
51998,DV,13995,0.0
51999,DV,19459,0.0
52000,DV,20800,0.0
52001,DV,9286,0.0
52002,DV,14691,0.0
52003,DV,13149,0.0
52004,DV,18842,0.0
52005,DV,20837,0.0
52006,DV,21022,0.0
52007,DV,12702,0.0
52008,DV,17849,0.0
52009,DV,9206,0.0
52010,DV,15473,0.0
52011,DV,14791,0.0
52012,DV,14626,0.0
52013,DV,14724,0.0
52014,DV,19458,0.0
52015,DV,20193,0.0
52016,DV,12463,0.0
52017,DV,15051,0.0
52018,DV,15585,0.0
52019,DV,15637,0.0
52020,DV,14871,0.0
52021,DV,14415,0.0
52022,DV,15109,0.0
52023,DV,16124,0.0
52024,DV,16418,0.0
52025,DV,12862,0.0
52026,DV,12693,0.0
52027,DV,18292,0.0
52028,DV,14476,0.0
52029,DV,21086,0.0
52030,DV,14581,0.0
52031,DV,15665,0.0
52032,DV,20618,0.0
52033,DV,15475,0.0
52034,DV,13434,0.0
52035,DV,16166,0.0
52036,DV,13440,0.0
52037,DV,13459,0.0
52038,DV,13992,0.0
52039,DV,14798,0.0
52040,DV,9403,0.0
52041,DV,16973,0.0
52042,DV,13644,0.0
52043,DV,8746,0.0
52044,DV,12427,0.0
52045,DV,19365,0.0
52046,DV,12185,0.0
52047,DV,19566,0.0
52048,DV,19477,0.0
52049,DV,15835,0.0
52050,DV,16208,0.0
52051,DV,16212,0.0
52052,DV,15860,0.0
52053,DV,19290,0.0
52054,DV,15677,0.0
52055,DV,19248,0.0
52056,DV,14686,0.0
52057,DV,19935,0.0
52058,DV,19914,0.0
52059,DV,20924,0.0
52060,DV,9146,0.0
52061,DV,14474,0.0
52062,DV,18973,0.0
52063,DV,8760,0.0
52064,DV,18425,0.0
52065,DV,13524,0.0
52066,DV,20482,0.0
52067,DV,20495,0.0
52068,DV,20954,0.0
52069,DV,19520,0.0
52070,DV,8517,0.0
52071,DV,14983,0.0
52072,DV,14880,0.0
52073,DV,16339,0.0
52074,DV,14678,0.0
52075,DV,15450,0.0
52076,DV,15993,0.0
52077,DV,13179,0.0
52078,DV,15641,0.0
52079,DV,12846,0.0
52080,DV,20468,0.0
52081,DV,16310,0.0
52082,DV,16219,0.0
52083,DV,11888,0.0
52084,DV,13397,0.0
52085,DV,14747,0.0
52086,DV,16762,0.0
52087,DV,20792,0.0
52088,DV,16284,0.0
52089,DV,13608,0.0
52090,DV,15770,0.0
52091,DV,8656,0.0
52092,DV,16602,0.0
52093,DV,13659,0.0
52094,DV,13858,0.0
52095,DV,12025,0.0
52096,DV,20391,0.0
52097,DV,18930,0.0
52098,DV,11899,0.0
52099,DV,8710,0.0
52100,DV,14361,0.0
52101,DV,14902,0.0
52102,DV,17827,0.0
52103,DV,15243,0.0
52104,DV,16668,0.0
52105,DV,18361,0.0
52106,DV,17226,0.0
52107,DV,14683,0.0
52108,DV,19767,0.0
52109,DV,12511,0.0
52110,DV,13539,0.0
52111,DV,12956,0.0
52112,DV,9353,0.0
52113,DV,20408,0.0
52114,DV,12603,0.0
52115,DV,16114,0.0
52116,DV,15620,0.0
52117,DV,14157,0.0
52118,DV,19356,0.0
52119,DV,19030,0.0
52120,DV,15979,0.0
52121,DV,21702,0.0
52122,DV,15310,0.0
52123,DV,18422,0.0
52124,DV,21535,0.0
52125,DV,16996,0.0
52126,DV,13571,0.0
52127,DV,20307,0.0
52128,DV,19538,0.0
52129,DV,16871,0.0
52130,DV,15861,0.0
52131,DV,19402,0.0
52132,DV,15290,0.0
52133,DV,12048,0.0
52134,DV,13351,0.0
52135,DV,15825,0.0
52136,DV,13951,0.0
52137,DV,20143,0.0
52138,DV,16234,0.0
52139,DV,19764,0.0
52140,DV,15406,0.0
52141,DV,15329,0.0
52142,DV,19380,0.0
52143,DV,19772,0.0
52144,DV,19597,0.0
52145,DV,14968,0.0
52146,DV,18805,0.0
52147,DV,12715,0.0
52148,DV,12324,0.0
52149,DV,18590,0.0
52150,DV,15932,0.0
52151,DV,12832,0.0
52152,DV,8638,0.0
52153,DV,19303,0.0
52154,DV,14697,0.0
52155,DV,20777,0.0
52156,DV,18546,0.0
52157,DV,19468,0.0
52158,DV,14498,0.0
52159,DV,12540,0.0
52160,DV,15697,0.0
52161,DV,13796,0.0
52162,DV,12510,0.0
52163,DV,21256,0.0
52164,DV,13866,0.0
52165,DV,16382,0.0
52166,DV,14450,0.0
52167,DV,19158,0.0
52168,DV,19334,0.0
52169,DV,19441,0.0
52170,DV,14189,0.0
52171,DV,13747,0.0
52172,DV,12671,0.0
52173,DV,13713,0.0
52174,DV,15439,0.0
52175,DV,14933,0.0
52176,DV,14235,0.0
52177,DV,9295,0.0
52178,DV,12200,0.0
52179,DV,8741,0.0
52180,DV,20158,0.0
52181,DV,13119,0.0
52182,DV,19396,0.0
52183,DV,20895,0.0
52184,DV,16171,0.0
52185,DV,8607,0.0
52186,DV,14182,0.0
52187,DV,20320,0.0
52188,DV,15863,0.0
52189,DV,9292,0.0
52190,DV,15175,0.0
52191,DV,13117,0.0
52192,DV,15856,0.0
52193,DV,8677,0.0
52194,DV,16123,0.0
52195,DV,13861,0.0
52196,DV,18961,0.0
52197,DV,12536,0.0
52198,DV,14696,0.0
52199,DV,9315,0.0
52200,DV,8630,0.0
52201,DV,13134,0.0
52202,DV,14480,0.0
52203,DV,16157,0.0
52204,DV,18778,0.0
52205,DV,9345,0.0
52206,DV,9264,0.0
52207,DV,15672,0.0
52208,DV,14466,0.0
52209,DV,9125,0.0
52210,DV,14853,0.0
52211,DV,12264,0.0
52212,DV,14449,0.0
52213,DV,13253,0.0
52214,DV,8737,0.0
52215,DV,18766,0.0
52216,DV,12547,0.0
52217,DV,19702,0.0
52218,DV,18887,0.0
52219,DV,21009,0.0
52220,DV,15933,0.0
52221,DV,16430,0.0
52222,DV,19331,0.0
52223,DV,12599,0.0
52224,DV,15036,0.0
52225,DV,15517,0.0
52226,DV,8658,0.0
52227,DV,14330,0.0
52228,DV,12538,0.0
52229,DV,19254,0.0
52230,DV,15642,0.0
52231,DV,19280,0.0
52232,DV,14395,0.0
52233,DV,14470,0.0
52234,DV,15294,0.0
52235,DV,16779,0.0
52236,DV,8643,0.0
52237,DV,14412,0.0
52238,DV,12824,0.0
52239,DV,13184,0.0
52240,DV,20720,0.0
52241,DV,14070,0.0
52242,DV,13508,0.0
52243,DV,14530,0.0
52244,DV,20556,0.0
52245,DV,13690,0.0
52246,DV,12672,0.0
52247,DV,16105,0.0
52248,DV,16529,0.0
52249,DV,19247,0.0
52250,DV,14019,0.0
52251,DV,15428,0.0
52252,DV,18976,0.0
52253,DV,9215,0.0
52254,DV,15647,0.0
52255,DV,14382,0.0
52256,DV,14823,0.0
52257,DV,13937,0.0
52258,DV,18872,0.0
52259,DV,19683,0.0
52260,DV,13193,0.0
52261,DV,15012,0.0
52262,DV,20291,0.0
52263,DV,21023,0.0
52264,DV,12553,0.0
52265,DV,12001,0.0
52266,DV,16351,0.0
52267,DV,8697,0.0
52268,DV,19792,0.0
52269,DV,20148,0.0
52270,DV,19216,0.0
52271,DV,12401,0.0
52272,DV,13168,0.0
52273,DV,16519,0.0
52274,DV,19591,0.0
52275,DV,14760,0.0
52276,DV,16215,0.0
52277,DV,15508,0.0
52278,DV,8688,0.0
52279,DV,1675,0.0
52280,DV,13597,0.0
52281,DV,19750,0.0
52282,DV,17805,0.0
52283,DV,19873,0.0
52284,DV,13956,0.0
52285,DV,20568,0.0
52286,DV,18875,0.0
52287,DV,21270,0.0
52288,DV,20365,0.0
52289,DV,21019,0.0
52290,DV,15790,0.0
52291,DV,19304,0.0
52292,DV,17691,0.0
52293,DV,14051,0.0
52294,DV,20366,0.0
52295,DV,9348,0.0
52296,DV,18423,0.0
52297,DV,19882,0.0
52298,DV,15505,0.0
52299,DV,18795,0.0
52300,DV,19959,0.0
52301,DV,20286,0.0
52302,DV,13746,0.0
52303,DV,20886,0.0
52304,DV,12521,0.0
52305,DV,13871,0.0
52306,DV,20682,0.0
52307,DV,13176,0.0
52308,DV,20223,0.0
52309,DV,12300,0.0
52310,DV,8641,0.0
52311,DV,20933,0.0
52312,DV,15403,0.0
52313,DV,14394,0.0
52314,DV,15800,0.0
52315,DV,16669,0.0
52316,DV,14969,0.0
52317,DV,9219,0.0
52318,DV,20458,0.0
52319,DV,19226,0.0
52320,DV,15434,0.0
52321,DV,13151,0.0
52322,DV,20844,0.0
52323,DV,12546,0.0
52324,DV,19821,0.0
52325,DV,15328,0.0
52326,DV,15651,0.0
52327,DV,16029,0.0
52328,DV,11879,0.0
52329,DV,16388,0.0
52330,DV,15667,0.0
52331,DV,15612,0.0
52332,DV,18791,0.0
52333,DV,3618,0.0
52334,DV,13128,0.0
52335,DV,19231,0.0
52336,DV,15288,0.0
52337,DV,15367,0.0
52338,DV,15093,0.0
52339,DV,14553,0.0
52340,DV,16690,0.0
52341,DV,9282,0.0
52342,DV,20864,0.0
52343,DV,16796,0.0
52344,DV,11977,0.0
52345,DV,8567,0.0
52346,DV,13979,0.0
52347,DV,13143,0.0
52348,DV,19962,0.0
52349,DV,14676,0.0
52350,DV,12422,0.0
52351,DV,8703,0.0
52352,DV,18630,0.0
52353,DV,12226,0.0
52354,DV,15277,0.0
52355,DV,21046,0.0
52356,DV,14956,0.0
52357,DV,14911,0.0
52358,DV,13931,0.0
52359,DV,19319,0.0
52360,DV,20845,0.0
52361,DV,13187,0.0
52362,DV,3634,0.0
52363,DV,14937,0.0
52364,DV,16001,0.0
52365,DV,20403,0.0
52366,DV,12872,0.0
52367,DV,14437,0.0
52368,DV,12628,0.0
52369,DV,16405,0.0
52370,DV,9339,0.0
52371,DV,20851,0.0
52372,DV,18914,0.0
52373,DV,15022,0.0
52374,DV,15490,0.0
52375,DV,20572,0.0
52376,DV,14819,0.0
52377,DV,16078,0.0
52378,DV,14179,0.0
52379,DV,13485,0.0
52380,DV,9105,0.0
52381,DV,9164,0.0
52382,DV,16069,0.0
52383,DV,14544,0.0
52384,DV,21662,0.0
52385,DV,21273,0.0
52386,DV,14594,0.0
52387,DV,8646,0.0
52388,DV,19467,0.0
52389,DV,20612,0.0
52390,DV,14795,0.0
52391,DV,9123,0.0
52392,DV,14610,0.0
52393,DV,21498,0.0
52394,DV,21082,0.0
52395,DV,19220,0.0
52396,DV,21129,0.0
52397,DV,19669,0.0
52398,DV,19151,0.0
52399,DV,13914,0.0
52400,DV,13375,0.0
52401,DV,14322,0.0
52402,DV,19260,0.0
52403,DV,12413,0.0
52404,DV,15066,0.0
52405,DV,15483,0.0
52406,DV,9320,0.0
52407,DV,8597,0.0
52408,DV,14518,0.0
52409,DV,18912,0.0
52410,DV,9284,0.0
52411,DV,20471,0.0
52412,DV,13664,0.0
52413,DV,20582,0.0
52414,DV,13844,0.0
52415,DV,13391,0.0
52416,DV,9204,0.0
52417,DV,15624,0.0
52418,DV,19130,0.0
52419,DV,18609,0.0
52420,DV,12108,0.0
52421,DV,13698,0.0
52422,DV,19956,0.0
52423,DV,16270,0.0
52424,DV,19553,0.0
52425,DV,15331,0.0
52426,DV,16182,0.0
52427,DV,17699,0.0
52428,DV,11875,0.0
52429,DV,13922,0.0
52430,DV,15646,0.0
52431,DV,21606,0.0
52432,DV,9195,0.0
52433,DV,14547,0.0
52434,DV,8694,0.0
52435,DV,14593,0.0
52436,DV,19910,0.0
52437,DV,20430,0.0
52438,DV,12325,0.0
52439,DV,21158,0.0
52440,DV,11991,0.0
52441,DV,20395,0.0
52442,DV,18540,0.0
52443,DV,14253,0.0
52444,DV,8700,0.0
52445,DV,15818,0.0
52446,DV,14699,0.0
52447,DV,14881,0.0
52448,DV,13185,0.0
52449,DV,14636,0.0
52450,DV,18094,0.0
52451,DV,12779,0.0
52452,DV,20810,0.0
52453,DV,12871,0.0
52454,DV,15390,0.0
52455,DV,9171,0.0
52456,DV,15387,0.0
52457,DV,12338,0.0
52458,DV,12369,0.0
52459,DV,14161,0.0
52460,DV,15654,0.0
52461,DV,18769,0.0
52462,DV,13178,0.0
52463,DV,8664,0.0
52464,DV,14510,0.0
52465,DV,15026,0.0
52466,DV,14939,0.0
52467,DV,12035,0.0
52468,DV,20603,0.0
52469,DV,15653,0.0
52470,DV,14124,0.0
52471,DV,13205,0.0
52472,DV,15898,0.0
52473,DV,14500,0.0
52474,DV,20071,0.0
52475,DV,16107,0.0
52476,DV,16585,0.0
52477,DV,20235,0.0
52478,DV,13189,0.0
52479,DV,19345,0.0
52480,DV,14810,0.0
52481,DV,19253,0.0
52482,DV,8785,0.0
52483,DV,16409,0.0
52484,DV,13684,0.0
52485,DV,12529,0.0
52486,DV,16357,0.0
52487,DV,16741,0.0
52488,DV,8558,0.0
52489,DV,21336,0.0
52490,DV,13886,0.0
52491,DV,18051,0.0
52492,DV,13787,0.0
52493,DV,15181,0.0
52494,DV,20950,0.0
52495,DV,8487,0.0
52496,DV,16325,0.0
52497,DV,12373,0.0
52498,DV,9100,0.0
52499,DV,13598,0.0
52500,DV,20688,0.0
52501,DV,12793,0.0
52502,DV,20817,0.0
52503,DV,12552,0.0
52504,DV,13959,0.0
52505,DV,13633,0.0
52506,DV,9149,0.0
52507,DV,13765,0.0
52508,DV,14174,0.0
52509,DV,14271,0.0
52510,DV,15244,0.0
52511,DV,15701,0.0
52512,DV,12634,0.0
52513,DV,19724,0.0
52514,DV,18559,0.0
52515,DV,17479,0.0
52516,DV,14877,0.0
52517,DV,12560,0.0
52518,DV,14852,0.0
52519,DV,14891,0.0
52520,DV,13665,0.0
52521,DV,13716,0.0
52522,DV,20385,0.0
52523,DV,14849,0.0
52524,DV,16347,0.0
52525,DV,15286,0.0
52526,DV,19089,0.0
52527,DV,15967,0.0
52528,DV,14121,0.0
52529,DV,21303,0.0
52530,DV,16274,0.0
52531,DV,8691,0.0
52532,DV,14034,0.0
52533,DV,9408,0.0
52534,DV,13623,0.0
52535,DV,8543,0.0
52536,DV,14884,0.0
52537,DV,13837,0.0
52538,DV,14183,0.0
52539,DV,15962,0.0
52540,DV,13094,0.0
52541,DV,9454,0.0
52542,DV,15164,0.0
52543,DV,12332,0.0
52544,DV,13206,0.0
52545,DV,9101,0.0
52546,DV,14004,0.0
52547,DV,9237,0.0
52548,DV,16384,0.0
52549,DV,13309,0.0
52550,DV,19360,0.0
52551,DV,14572,0.0
52552,DV,16090,0.0
52553,DV,8870,0.0
52554,DV,15700,0.0
52555,DV,18359,0.0
52556,DV,19009,0.0
52557,DV,16132,0.0
52558,DV,20566,0.0
52559,DV,15231,0.0
52560,DV,17640,0.0
52561,DV,19484,0.0
52562,DV,14037,0.0
52563,DV,14660,0.0
52564,DV,19489,0.0
52565,DV,20433,0.0
52566,DV,18472,0.0
52567,DV,13372,0.0
52568,DV,13315,0.0
52569,DV,14338,0.0
52570,DV,8711,0.0
52571,DV,14517,0.0
52572,DV,9377,0.0
52573,DV,16417,0.0
52574,DV,13900,0.0
52575,DV,14663,0.0
52576,DV,19857,0.0
52577,DV,13865,0.0
52578,DV,19932,0.0
52579,DV,12818,0.0
52580,DV,20989,0.0
52581,DV,9388,0.0
52582,DV,19323,0.0
52583,DV,12199,0.0
52584,DV,20852,0.0
52585,DV,8588,0.0
52586,DV,20591,0.0
52587,DV,14832,0.0
52588,DV,17635,0.0
